% Motor Slew Rate Measurement - Continuous Step Sequence
% Segment length = 3.0 [sec]
% N_segments     = 20
% Duration       = 60.0 [sec]
% K_lin          = 8.127800 [(rad/s)/V]
% K_gimbal       = 26.049690 [(rad/s)/V]
% Vg_offset      = 1.336908 [V]
% p_cw           = [-2.621900, 30.449800, -63.426600]
% p_ccw          = [2.394600, 4.751300, -23.293900]
% Sequence (Vcmd per segment): +0.50 +0.00 -0.50 +0.00 +1.00 +0.00 -1.00 +0.00 +1.50 +0.00 -1.50 +0.00 +2.00 +0.00 -2.00 +0.00 +2.50 +0.00 -2.50 +0.00 

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]         Omega_target[rad/s]
       10.8450025000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.8500020000         0.0000000000         2.5000000000         1.3378393285         0.4336709744         0.0242678733         0.0000000000
       10.8550045000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.8600026000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.8650021000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.8700021000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.8750041000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.8800029000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.8850046000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.8900031000         0.0000000000         2.5000000000         1.3403916554         0.4387747293         0.0907551976         0.0000000000
       10.8950029000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.9000024000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.9050027000         0.0000000000         2.5000000000         1.3301823480         0.4234634646        -0.1751940993         0.0000000000
       10.9100019000         0.0000000000         2.5000000000         1.3403916554         0.4336709744         0.0907551976         0.0000000000
       10.9150024000         0.0000000000         2.5000000000         1.3301823480         0.4234634646        -0.1751940993         0.0000000000
       10.9200023000         0.0000000000         2.5000000000         1.3429439823         0.4362228519         0.1572425218         0.0000000000
       10.9250060000         0.0000000000         2.5000000000         1.3429439823         0.4362228519         0.1572425218         0.0000000000
       10.9300106000         0.0000000000         2.5000000000         1.3301823480         0.4260153420        -0.1751940993         0.0000000000
       10.9350052000         0.0000000000         2.5000000000         1.3327346748         0.4234634646        -0.1087067751         0.0000000000
       10.9400023000         0.0000000000         2.5000000000         1.3352870017         0.4285672195        -0.0422194509         0.0000000000
       10.9450279000         0.0000000000         2.5000000000         1.3327346748         0.4260153420        -0.1087067751         0.0000000000
       10.9500013000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.9550030000         0.0000000000         2.5000000000         1.3429439823         0.4362228519         0.1572425218         0.0000000000
       10.9600057000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.9650033000         0.0000000000         2.5000000000         1.3352870017         0.4285672195        -0.0422194509         0.0000000000
       10.9700030000         0.0000000000         2.5000000000         1.3429439823         0.4362228519         0.1572425218         0.0000000000
       10.9750016000         0.0000000000         2.5000000000         1.3454963091         0.4387747293         0.2237298460         0.0000000000
       10.9800042000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.9850028000         0.0000000000         2.5000000000         1.3301823480         0.4260153420        -0.1751940993         0.0000000000
       10.9900031000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.9950028000         0.0000000000         2.5000000000         1.3301823480         0.4234634646        -0.1751940993         0.0000000000
       11.0000034000         0.0000000000         2.5000000000         1.3608102703         0.4260153420         0.6226537914         0.0000000000
       11.0050083000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       11.0100099000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       11.0160152000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       11.0200051000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       11.0250017000         0.0000000000         2.5000000000         1.3301823480         0.4260153420        -0.1751940993         0.0000000000
       11.0300048000         0.0000000000         2.5000000000         1.3301823480         0.4234634646        -0.1751940993         0.0000000000
       11.0350022000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       11.0400022000         0.0000000000         2.5000000000         1.3378393285         0.4336709744         0.0242678733         0.0000000000
       11.0450017000         0.0000000000         2.5000000000         1.3301823480         0.4234634646        -0.1751940993         0.0000000000
       11.0500046000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       11.0550032000         0.0000000000         2.5000000000         1.3327346748         0.4260153420        -0.1087067751         0.0000000000
       11.0600029000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       11.0650029000         0.0000000000         2.5000000000         1.3327346748         0.4260153420        -0.1087067751         0.0000000000
