% Linearization Verification  Step 1/51
% Vcmd_ref    = -2.5000 [V]
% Vc_applied  = 0.5000  [V]
% omega_target= -23.2075  [rad/s]
% omega_meas  = 0.0000  [rad/s]  (last-2s avg)
% error       = 23.2075  [rad/s]
% Vg_offset   = 0.000000  [V]
% K_gimbal    = 26.049690  [(rad/s)/V]

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.6650031000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.6700034000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.6750025000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.6800025000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.6850032000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.6900021000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.6950023000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.7000031000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.7050028000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.7100017000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.7150026000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.7200030000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.7250026000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.7300028000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.7350025000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.7400025000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.7450025000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.7500027000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.7550025000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.7600019000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.7650030000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.7700018000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.7750026000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.7800019000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.7850026000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.7902290000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.7950027000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.8000039000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.8050055000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.8100029000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.8150028000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.8200034000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.8250028000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.8300022000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.8350031000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.8400030000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.8450027000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.8500114000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.8550025000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.8600035000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.8650138000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.8700031000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.8750100000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.8800036000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.8850951000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.8900027000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.8950025000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.9000150000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.9050748000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.9100029000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.9150031000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.9200052000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.9250037000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.9300028000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.9350027000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.9400028000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
