% K_lin=8.035300  p_cw=[-2.695200 31.026600 -64.676800]  p_ccw=[2.343300 4.917800 -23.132900]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.9606041000         0.0960604100         2.7815158437         1.3761242314         5.0066353810         1.0189182438         0.7718742125
        0.9654537000         0.0965453700         2.7817589005         1.3684672508         5.0066353810         0.8194562711         0.7757710116
        0.9704343000         0.0970434300         2.7820085436         1.3735719045         5.0066353810         0.9524309195         0.7797730731
        0.9754384000         0.0975438400         2.7822593857         1.3684672508         4.9989797486         0.8194562711         0.7837940176
        0.9804620000         0.0980462000         2.7825112265         1.3837812120         5.0066353810         1.2183802165         0.7878306309
        0.9855591000         0.0985559100         2.7827667738         1.3786765582         5.0066353810         1.0854055680         0.7919263036
        0.9904525000         0.0990452500         2.7830121291         1.3710195777         4.9989797486         0.8859435953         0.7958582973
        0.9954666000         0.0995466600         2.7832635573         1.3888858657         5.0066353810         1.3513548649         0.7998872771
        1.0005635000         0.1000563500         2.7835191593         1.3837812120         5.0117391359         1.2183802165         0.8039827892
        1.0056689000         0.1005668900         2.7837752096         1.3761242314         5.0015316260         1.0189182438         0.8080851312
        1.0104362000         0.1010436200         2.7840143231         1.3761242314         5.0066353810         1.0189182438         0.8119157998
        1.0154346000         0.1015434600         2.7842650485         1.3837812120         5.0117391359         1.2183802165         0.8159321641
        1.0204693000         0.1020469300         2.7845176162         1.3786765582         5.0040835035         1.0854055680         0.8199776966
        1.0253989000         0.1025398900         2.7847649323         1.3684672508         5.0015316260         0.8194562711         0.8239387781
        1.0303937000         0.1030393700         2.7850155405         1.3735719045         5.0066353810         0.9524309195         0.8279522498
        1.0354072000         0.1035407200         2.7852671082         1.3735719045         5.0040835035         0.9524309195         0.8319807474
        1.0403891000         0.1040389100         2.7855171113         1.3659149240         4.9989797486         0.7529689469         0.8359838535
        1.0454740000         0.1045474000         2.7857723049         1.3761242314         5.0117391359         1.0189182438         0.8400697232
        1.0505572000         0.1050557200         2.7860274352         1.3710195777         5.0040835035         0.8859435953         0.8441542269
        1.0554843000         0.1055484300         2.7862747515         1.3812288851         5.0142910133         1.1518928922         0.8481132996
        1.0604563000         0.1060456300         2.7865243425         1.3684672508         4.9989797486         0.8194562711         0.8521084507
        1.0654277000         0.1065427700         2.7867739244         1.3863335388         5.0142910133         1.2848675407         0.8561031198
        1.0703904000         0.1070390400         2.7870230904         1.3684672508         4.9989797486         0.8194562711         0.8600907981
        1.0753958000         0.1075395800         2.7872744215         1.3863335388         5.0091872584         1.2848675407         0.8641127872
        1.0803856000         0.1080385600         2.7875249904         1.3735719045         4.9964278711         0.9524309195         0.8681222412
