% Motor Triangle Wave Linearization Verification
% Amplitude    = 2.5000 [V]
% Period       = 10.0000 [sec]
% Cycles       = 5
% Duration     = 50.0000 [sec]
% K_lin        = 9.283000 [(rad/s)/V]
% K_gimbal     = 26.049690 [(rad/s)/V]
% Vg_offset    = 1.336895 [V]
% p_cw         = [-3.197700, 35.875600, -73.405600]
% p_ccw        = [3.168100, 3.851000, -25.925000]

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]         Omega_target[rad/s]
       29.6600045000        -0.3399955000         2.1410940097         1.2229846200         3.8327717498        -2.9673292802        -3.1561782265
       29.6650037000        -0.3349963000         2.1437571572         1.2357462543         3.8276679949        -2.6348926591        -3.1097706529
       29.6700039000        -0.3299961000         2.1464182615         1.2280892737         3.8225642400        -2.8343546318        -3.0633537963
       29.6750066000        -0.3249934000         2.1490781257         1.2357462543         3.8047010978        -2.6348926591        -3.0169137322
       29.6800044000        -0.3199956000         2.1517328246         1.2382985811         3.7893898330        -2.5684053349        -2.9705191548
       29.6850062000        -0.3149938000         2.1543870937         1.2408509080         3.7868379556        -2.5019180107        -2.9240874454
       29.6900067000        -0.3099933000         2.1570381258         1.2255369469         3.7689748133        -2.9008419560        -2.8776678039
       29.6950062000        -0.3049938000         2.1596860890         1.2306416006         3.7587673035        -2.7678673076        -2.8312574454
       29.7000109000        -0.2999891000         2.1623342712         1.2306416006         3.7485597937        -2.7678673076        -2.7847988153
       29.7050077000        -0.2949923000         2.1649757500         1.2434032349         3.7460079162        -2.4354306864        -2.7384135209
       29.7100109000        -0.2899891000         2.1676180932         1.2408509080         3.7409041613        -2.5019180107        -2.6919688153
       29.7150090000        -0.2849910000         2.1702552335         1.2485078886         3.7358004064        -2.3024560380        -2.6455714530
       29.7200089000        -0.2799911000         2.1728908211         1.2434032349         3.7204891416        -2.4354306864        -2.5991573813
       29.7250081000        -0.2749919000         2.1755235446         1.2561648691         3.7179372642        -2.1029940653        -2.5527498077
       29.7300114000        -0.2699886000         2.1781559363         1.2510602154         3.7000741219        -2.2359687137        -2.5063041738
       29.7350077000        -0.2649923000         2.1807821652         1.2561648691         3.6975222445        -2.1029940653        -2.4599235209
       29.7400108000        -0.2599892000         2.1834094925         1.2485078886         3.6847628572        -2.3024560380        -2.4134797436
